George Holding,"$2,000 ",Republican,North Carolina
Tim Huelskamp,"$2,000 ",Republican,Kansas
Bill Huizenga,"$2,000 ",Republican,Michigan
Randy Hultgren,"$2,000 ",Republican,Illinois
Darrell Issa,"$2,000 ",Republican,California
Lynn Jenkins,"$2,000 ",Republican,Kansas
Bill Johnson,"$2,000 ",Republican,Ohio
Jim Jordan,"$2,000 ",Republican,Ohio
Trent Kelly,"$2,000 ",Republican,Mississippi
Steven A King,"$2,000 ",Republican,Iowa
Adam Kinzinger,"$2,000 ",Republican,Illinois
Doug LaMalfa,"$2,000 ",Republican,California
Douglas L Lamborn,"$2,000 ",Republican,Colorado
Billy Long,"$2,000 ",Republican,Missouri
Frank D Lucas,"$2,000 ",Republican,Oklahoma
Blaine Luetkemeyer,"$2,000 ",Republican,Missouri
Tom Marino,"$2,000 ",Republican,Pennsylvania
Tom McClintock,"$2,000 ",Republican,California
Luke Messer,"$2,000 ",Republican,Indiana
John Moolenaar,"$2,000 ",Republican,Michigan
Alex Mooney,"$2,000 ",Republican,West Virginia
Mick Mulvaney,"$2,000 ",Republican,South Carolina
Tim Murphy,"$2,000 ",Republican,Pennsylvania
Kristi Noem,"$2,000 ",Republican,South Dakota
Gary Palmer,"$2,000 ",Republican,Alabama
Steve Pearce,"$2,000 ",Republican,New Mexico
Scott Perry,"$2,000 ",Republican,Pennsylvania
Robert Pittenger,"$2,000 ",Republican,North Carolina
Ted Poe,"$2,000 ",Republican,Texas
Mike Pompeo,"$2,000 ",Republican,Kansas
Bill Posey,"$2,000 ",Republican,Florida
Tom Price,"$2,000 ",Republican,Georgia
Jim Renacci,"$2,000 ",Republican,Ohio
Tom Rice,"$2,000 ",Republican,South Carolina
Martha Roby,"$2,000 ",Republican,Alabama
Hal Rogers,"$2,000 ",Republican,Kentucky
Mike D Rogers,"$2,000 ",Republican,Alabama
Todd Rokita,"$2,000 ",Republican,Indiana
Peter Roskam,"$2,000 ",Republican,Illinois
Dennis Ross,"$2,000 ",Republican,Florida
Keith J Rothfus,"$2,000 ",Republican,Pennsylvania
David Rouzer,"$2,000 ",Republican,North Carolina
Steven Russell,"$2,000 ",Republican,Oklahoma
Mark Sanford,"$2,000 ",Republican,South Carolina
Austin Scott,"$2,000 ",Republican,Georgia
Mike Simpson,"$2,000 ",Republican,Idaho
