Gwen Moore,D,Wisconsin 4,,
Ted Poe,R,Texas 2,,
Tom Price,R,Georgia 6,,
Dave Reichert,R,Washington 8,,
Debbie Wasserman Schultz,D,Florida 23,,
Lynn Westmoreland,R,Georgia 3,,
Doris Matsui,D,California 6,,
Albio Sires,D,New Jersey 8,,
Steve Pearce,R,New Mexico 2,,
Gus Bilirakis,R,Florida 12,,
Vern Buchanan,R,Florida 16,,
Kathy Castor,D,Florida 14,,
Yvette D. Clarke,D,New York 9,,
Steve Cohen,D,Tennessee 9,,
Joe Courtney,D,Connecticut 2,,
Keith Ellison,D,Minnesota 5,,
Hank Johnson,D,Georgia 4,,
Jim Jordan,R,Ohio 4,,
Doug Lamborn,R,Colorado 5,,
Dave Loebsack,D,Iowa 2,,
Kevin McCarthy,R,California 23,,
Jerry McNerney,D,California 9,,
Ed Perlmutter,D,Colorado 7,,
Peter Roskam,R,Illinois 6,,
John Sarbanes,D,Maryland 3,,
Adrian Smith,R,Nebraska 3,,
Tim Walz,D,Minnesota 1,,
Peter Welch,D,Vermont at-large,,
John Yarmuth,D,Kentucky 3,,
Niki Tsongas,D,Massachusetts 3,,
Bob Latta,R,Ohio 5,,
Rob Wittman,R,Virginia 1,,
André Carson,D,Indiana 7,,
Jackie Speier,D,California 14,,
Steve Scalise,R,Louisiana 1,,
Donna Edwards,D,Maryland 4,,
Marcia Fudge,D,Ohio 11,,
Rick Nolan,D,Minnesota 8,,
Matt Salmon,R,Arizona 5,,
Mark Sanford,R,South Carolina 1,,
Jason Chaffetz,R,Utah 3,,
Mike Coffman,R,Colorado 6,,
Gerry Connolly,D,Virginia 11,,
John C. Fleming,R,Louisiana 4,,
Brett Guthrie,R,Kentucky 2,,
Gregg Harper,R,Mississippi 3,,
Jim Himes,D,Connecticut 4,,
Duncan D. Hunter,R,California 50,,
Lynn Jenkins,R,Kansas 2,,
Leonard Lance,R,New Jersey 7,,
Blaine Luetkemeyer,R,Missouri 3,,
Ben R. Luján,D,New Mexico 3,,
Cynthia Lummis,R,Wyoming at-large,,
Tom McClintock,R,California 4,,
Pete Olson,R,Texas 22,,
Erik Paulsen,R,Minnesota 3,,
Chellie Pingree,D,Maine 1,,
Jared Polis,D,Colorado 2,,
Bill Posey,R,Florida 8,,
Phil Roe,R,Tennessee 1,,
Tom Rooney,R,Florida 17,,
Aaron Schock,R,Illinois 18,,
Kurt Schrader,D,Oregon 5,,
Glenn Thompson,R,Pennsylvania 5,,
Paul Tonko,D,New York 20,,
Michael Quigley,D,Illinois 5,,
Judy Chu,D,California 27,,
John Garamendi,D,California 3,,
Ted Deutch,D,Florida 21,,
Tom Graves,R,Georgia 14,,
Tom Reed,R,New York 23,,
Marlin Stutzman,R,Indiana 3,,
Mike Fitzpatrick,R,Pennsylvania 8,,
Tim Walberg,R,Michigan 7,,
Bill Foster,D,Illinois 11,,
Justin Amash,R,Michigan 3,,
Lou Barletta,R,Pennsylvania 11,,
Karen Bass,D,California 37,,
Dan Benishek,R,Michigan 1,,
Diane Black,R,Tennessee 6,,
Mo Brooks,R,Alabama 5,,
Larry Bucshon,R,Indiana 8,,
John Carney,D,Delaware at-large,,
David Cicilline,D,Rhode Island 1,,
Rick Crawford,R,Arkansas 1,,
Jeff Denham,R,California 10,,
Scott DesJarlais,R,Tennessee 4,,
Sean Duffy,R,Wisconsin 7,,
Jeff Duncan,R,South Carolina 3,,
Renee Ellmers,R,North Carolina 2,,
Blake Farenthold,R,Texas 27,,
Stephen Fincher,R,Tennessee 8,,
Chuck Fleischmann,R,Tennessee 3,,
Bill Flores,R,Texas 17,,
Bob Gibbs,R,Ohio 7,,
Chris Gibson,R,New York 19,,
Paul Gosar,R,Arizona 4,,
Trey Gowdy,R,South Carolina 4,,
Morgan Griffith,R,Virginia 9,,
Michael Grimm,R,New York 11,,
Richard Hanna,R,New York 22,,
Andy Harris,R,Maryland 1,,
Vicky Hartzler,R,Missouri 4,,
Joe Heck,R,Nevada 3,,
Jaime Herrera Beutler,R,Washington 3,,
Tim Huelskamp,R,Kansas 1,,
Bill Huizenga,R,Michigan 2,,
Randy Hultgren,R,Illinois 14,,
Robert Hurt,R,Virginia 5,,
Bill Johnson,R,Ohio 6,,
Bill Keating,D,Massachusetts 9,,
Mike Kelly,R,Pennsylvania 3,,
Adam Kinzinger,R,Illinois 16,,
Raúl Labrador,R,Idaho 1,,
Billy Long,R,Missouri 7,,
Tom Marino,R,Pennsylvania 10,,
David McKinley,R,West Virginia 1,,
Pat Meehan,R,Pennsylvania 7,,
Mick Mulvaney,R,South Carolina 5,,
Kristi Noem,R,South Dakota at-large,,
Rich Nugent,R,Florida 11,,
Alan Nunnelee,R,Mississippi 1,,
Steven Palazzo,R,Mississippi 4,,
Mike Pompeo,R,Kansas 4,,
Jim Renacci,R,Ohio 16,,
Reid Ribble,R,Wisconsin 8,,
Cedric Richmond,D,Louisiana 2,,
Scott Rigell,R,Virginia 2,,
Martha Roby,R,Alabama 2,,
Todd Rokita,R,Indiana 4,,
Dennis Ross,R,Florida 15,,
David Schweikert,R,Arizona 6,,
Austin Scott,R,Georgia 8,,
Terri Sewell,D,Alabama 7,,
Steve Stivers,R,Ohio 15,,
Scott Tipton,R,Colorado 3,,
Daniel Webster,R,Florida 10,,
Frederica Wilson,D,Florida 24,,
Steve Womack,R,Arkansas 3,,
Rob Woodall,R,Georgia 7,,
Kevin Yoder,R,Kansas 3,,
Todd Young,R,Indiana 9,,
